name,kills


Dawnftb,44
gst44444,15
zZRabbitsZz,30
mrflipsflapz,59
Kazuyuki_Owen,72
jgwen19,76
SeaV1per1224,66
chanmeme1,61
commander_cookie1234,42
kite_167,16
spikey_001,49
Xernicus,58
kf21rotc2,8
Oscarchoyzy24,18
pensmen,32
jayneeddollar,63
anathaliakdc,43
pancake_w1,32
Alekspheus,39
GGXDArusha,47
Kangcheon24,76
FrailBailen,70
jamesplayztv1,57
KisarakiTH,46
kylemanike,67
nickthegodrider1289,60


commander_cookie1234,33
Croezg,35
jgwen19,72
polkomgyy44,58
anathaliakdc,25
jiajun129,30
AERBUTE1,45
Oscarchoyzy24,82
kylemanike,12
HarArkhichen,61
Xernicus,47
mrflipsflapz,50
Proxy_x5,53
chickenkampong,52
potatoringsninja4,60
jamesplayztv1,55
jayneeddollar,59
Dawnftb,36
kf21rotc2,12
SireHalo,44
Sumardisam,61
Kangcheon24,71
kite_167,46
nickthegodrider1289,46
bigshockwave99,57
Indonesia_ofMalaysia,47


Dawnftb,28
Proxy_x5,34
Kazuyuki_Owen,49
anathaliakdc,26
FrailBailen,57
ckpoa20,27
CommanderHikari,41
pensmen,56
MrDerps124,68
Gariksz,63
GGXDArusha,39
HoundVonSurrey,54
5xmars,67
MarioUlici200702,66

ndonesia_ofMalaysia,52
kf21rotc2,17
Xernicus,45
Mitsubira_Aratoshi,78
eiltene123,33
kylemanike,32
commander_cookie1234,34
jellyy112345,48
jgwen19,47
nickthegodrider1289,44
kite_167,42
jesterproandnoob,26
CIAUSA2,22
plm922sown,40
ConesOdebrecht,67
chanmeme1,52
chickenkampong,38
KusakabeMisaoMyWaifu,28
polkomgyy44,50
Croezg,37
HarArkhichen,60
MarionnJames2307,43
Madgaming2010,0
jiajun129,30
Oscarchoyzy24,22
Luqman_indo,6
spikey_001,3
Dawnftb,28
MrDerps124,68
anathaliakdc,26
GGXDArusha,39
FrailBailen,57
ckpoa20,27
CommanderHikari,41
cn191981,0

TomMiaorblx,33
polskathebestkraj,62
SeaV1per1224,62
jellyy112345,55
jesterproandnoob,45
Dawnftb,16
Oscarchoyzy24,79
cn191981,39
spikey_001,41
nickthegodrider1289,55
jiajun129,46
Xernicus,64
ckpoa20,37
chanmeme1,42
pensmen,44
Mitsubira_Aratoshi,59
GGXDArusha,33
jamesplayztv1,55
Gariksz,62
zoommine0423,47
eiltene123,43
chickenkampong,45
FrailBailen,55
HoundVonSurrey,45
ViktorInvicta,65
SupremeDom5162,41
Kazuyuki_Owen,55
Luqman_indo,24

SeaV1per1224,83
pancake_w1,33
Kangcheon24,30
spikey_001,47
chickenkampong,57
anathaliakdc,32
Indonesia_ofMalaysia,40
nickthegodrider1289,53
Dawnftb,26
Mitsubira_Aratoshi,78
jgwen19,64
SireHalo,53
ConesOdebrecht,89
jellyy112345,35
jesterproandnoob,34
eiltene123,52
mrflipsflapz,53
HarArkhichen,31
jiajun129,56
diwdwoa,72
GGXDArusha,46
KusakabeMisaoMyWaifu,53
Oscarchoyzy24,83
FrailBailen,31
polkomgyy44,52
Kazuyuki_Owen,64
studio_JD,24
Xernicus,32
PixelMangos,32
zoommine0423,49
